student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,study_hours_per_week,attendance_rate,math_score,reading_score,writing_score
STU1820,female,group B,bachelor's degree,standard,none,6.2,91.2,63,60,48.0
STU1733,female,group C,master's degree,standard,completed,1.7,94.5,72,66,60.0
STU1797,female,group A,associate's degree,standard,completed,4.3,81.6,51,53,52.0
STU1569,male,group C,bachelor's degree,free/reduced,completed,5.4,76.5,66,76,67.0
STU1901,male,group A,associate's degree,standard,none,8.5,81.9,91,77,61.0
STU1164,male,group B,some college,standard,none,1.9,75.4,68,61,53.0
STU1744,male,group C,associate's degree,standard,none,2.4,96.3,48,46,37.0
STU1892,female,group D,associate's degree,free/reduced,none,2.8,82.8,100,91,88.0
STU1177,male,group B,associate's degree,free/reduced,completed,9.0,80.8,69,70,74.0
STU1948,female,group C,some college,standard,completed,4.7,85.5,77,81,73.0
STU1398,female,group C,associate's degree,standard,none,4.1,90.4,71,78,72.0
STU1737,female,group B,some college,free/reduced,none,10.7,82.7,73,75,72.0
STU1746,male,group A,some college,free/reduced,none,8.6,86.0,100,92,92.0
STU1576,male,group A,master's degree,standard,none,1.1,87.5,61,63,56.0
STU1092,female,group C,high school,standard,none,,83.2,87,85,75.0
STU1738,male,group C,master's degree,free/reduced,none,4.1,88.3,84,86,80.0
STU1277,female,group E,some college,standard,none,13.1,81.3,99,97,91.0
STU1642,male,group C,associate's degree,standard,completed,2.2,86.6,83,79,76.0
STU1800,female,group E,associate's degree,standard,none,5.6,100.0,80,66,57.0
STU1025,female,group C,high school,standard,completed,3.5,85.3,94,82,75.0
STU1336,female,group B,some college,free/reduced,none,8.2,94.9,88,97,89.0
STU1274,female,group C,master's degree,free/reduced,none,1.3,85.4,91,89,85.0
STU1316,male,group C,high school,standard,completed,3.1,77.2,49,56,57.0
STU1537,male,group D,high school,standard,none,4.3,92.0,64,55,52.0
STU1837,male,group C,some high school,standard,none,8.7,98.3,53,60,62.0
STU1474,female,group C,some college,free/reduced,completed,7.8,84.8,80,85,88.0
STU1250,male,group D,some high school,standard,none,9.9,100.0,68,66,62.0
STU1651,female,group C,some college,standard,completed,6.6,87.0,77,63,61.0
STU1419,female,group E,some college,standard,none,11.7,80.9,81,82,70.0
STU1686,female,group E,some high school,free/reduced,none,3.5,91.9,57,63,61.0
STU1121,female,group E,some college,standard,none,9.2,80.2,56,38,31.0
STU1456,male,group D,some college,standard,completed,8.6,87.8,81,76,73.0
STU1620,male,group C,associate's degree,free/reduced,completed,2.5,77.2,67,61,58.0
STU1082,male,group C,some college,standard,none,12.6,68.5,57,56,49.0
STU1143,male,group C,high school,standard,completed,2.8,80.2,60,60,58.0
STU1369,male,group B,associate's degree,free/reduced,none,2.8,89.8,61,72,66.0
STU1340,female,group B,associate's degree,free/reduced,none,3.0,89.5,47,41,42.0
STU1427,female,group E,master's degree,standard,none,8.3,75.5,71,78,77.0
STU1598,male,group A,high school,standard,none,4.2,98.5,100,100,97.0
STU1541,female,group B,associate's degree,free/reduced,none,2.4,79.3,60,69,67.0
STU1565,female,group C,high school,free/reduced,completed,7.1,78.9,58,54,61.0
STU1431,female,group C,bachelor's degree,free/reduced,none,11.2,75.7,57,62,55.0
STU1898,male,group C,some college,standard,none,4.3,75.5,75,93,89.0
STU1762,male,group A,associate's degree,standard,completed,11.5,79.8,64,63,57.0
STU1318,male,group A,some college,free/reduced,none,3.2,99.0,72,81,64.0
STU1221,female,group B,some college,standard,none,5.7,94.5,57,60,49.0
STU1879,male,group C,high school,standard,completed,8.5,95.7,37,38,44.0
STU1104,female,group E,associate's degree,standard,none,14.1,72.8,93,82,79.0
STU1841,female,group C,associate's degree,standard,completed,3.3,84.2,100,79,78.0
STU1775,male,group C,some college,free/reduced,completed,6.8,91.9,59,71,58.0
STU1371,male,group B,bachelor's degree,standard,none,4.7,90.8,62,79,68.0
STU1917,female,group C,bachelor's degree,standard,none,10.4,,61,65,51.0
STU1060,male,group E,some high school,standard,none,7.7,90.4,74,79,72.0
STU1708,male,group C,some high school,standard,completed,2.8,72.8,86,81,76.0
STU1726,male,group C,some high school,standard,completed,5.8,82.4,60,72,67.0
STU1289,female,group A,high school,standard,completed,7.5,91.2,54,67,68.0
STU1093,female,group C,some college,free/reduced,completed,11.0,74.6,73,60,50.0
STU1425,female,group E,bachelor's degree,standard,none,5.7,80.7,61,67,58.0
STU1044,male,group E,bachelor's degree,free/reduced,none,1.4,91.6,86,78,72.0
STU1624,female,group B,some college,standard,completed,4.7,100.0,83,87,85.0
STU1512,female,group E,some college,free/reduced,none,4.3,83.2,69,72,73.0
STU1761,male,group D,some high school,free/reduced,completed,4.9,93.3,64,73,67.0
STU1953,female,group D,some college,standard,completed,1.6,89.1,89,93,84.0
STU1066,male,group B,high school,standard,none,3.0,92.1,66,71,64.0
STU1508,female,group C,bachelor's degree,free/reduced,none,8.0,86.3,82,85,85.0
STU1232,female,group B,bachelor's degree,standard,none,6.0,98.9,78,82,82.0
STU1752,female,group A,high school,standard,completed,3.1,93.6,83,62,63.0
STU1372,male,group D,associate's degree,standard,none,7.8,80.8,75,74,62.0
STU1532,female,group D,high school,standard,none,5.8,83.2,54,60,58.0
